Item_ID,Weight,Visibility,Category,Max_Price,Store_ID,Store_Establishment_Year,Item_Store_Sales,Outlet,FatContent_0,FatContent_1,FatContent_2,Store_Location_Type_0,Store_Location_Type_1,Store_Location_Type_2,Store_Size_0,Store_Size_1,Store_Size_2,Category_Type_0,Category_Type_1,Category_Type_2,Store_Type_0,Store_Type_1,Store_Type_2,Store_Type_3,Store_Age_0,Store_Age_1,Store_Age_2,Store_Age_3,Store_Age_4,Store_Age_5,Store_Age_6,Store_Age_7,Store_Age_8
FDL50,12.15,0.042277867,3,126.5046,OUT013,1987,373.5138,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDM39,6.42,0.08949892599999999,4,178.1002,OUT010,1998,358.2004,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NCP05,19.6,0.0,8,153.3024,OUT045,2002,2428.8384,7,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV49,10.0,0.025879577,3,265.2226,OUT045,2002,5815.0972,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL12,15.85,0.121632721,0,60.622,OUT046,1997,2576.646,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDS02,12.857645184136183,0.25539489600000004,4,196.8794,OUT019,1985,780.3176,4,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
NCL17,7.39,0.067779712,8,143.8812,OUT046,1997,3134.5864,8,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDM40,10.195,0.159803853,5,141.5154,OUT013,1987,850.8924,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDR13,9.895,0.028696932,3,117.0492,OUT013,1987,810.9444,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDA43,10.895,0.065041581,6,196.3794,OUT017,2007,3121.2704,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760013,9,151.4708,OUT017,2007,4815.0656,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,13,249.0408,OUT018,2009,6258.52,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NCX54,9.195,0.048157338,9,106.1622,OUT045,2002,2117.244,7,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
DRK35,8.365,0.071958197,7,38.0506,OUT049,1999,796.9626,9,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY21,15.1,0.17348130399999998,13,194.511,OUT046,1997,4910.275,8,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDI26,12.857645184136183,0.061082177,3,180.0344,OUT019,1985,892.172,4,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDM20,10.0,0.0,6,246.9144,OUT018,2009,3185.1872,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDV27,7.97,0.040071131,10,87.3514,OUT045,2002,1062.6168,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF09,12.857645184136183,0.012090074,6,38.2848,OUT027,1985,484.7024,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDY40,12.857645184136183,0.15028599,5,51.0692,OUT019,1985,147.8076,4,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY45,12.857645184136183,0.026015519,13,255.8356,OUT027,1985,2543.356,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDC46,17.7,0.195068226,13,185.4266,OUT010,1998,184.4266,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FDH19,19.35,0.033082215,10,172.5738,OUT035,2004,4865.6664,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDZ03,13.65,0.078946455,4,186.024,OUT045,2002,1118.544,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
DRH37,17.6,0.041700756,14,164.8526,OUT045,2002,2302.3364,7,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCI17,8.645,0.14342264300000002,8,95.841,OUT046,1997,2027.361,8,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDJ58,15.6,0.105296072,13,170.1764,OUT046,1997,3435.528,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121531501,0,59.222,OUT013,1987,599.22,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDH35,18.25,0.0,15,164.7526,OUT045,2002,4604.6728,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDG02,7.855,0.011324862,3,189.6188,OUT017,2007,2285.0256,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,9,254.3698,OUT049,1999,5580.7356,9,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC29,8.39,0.024205661,5,114.0176,OUT046,1997,2290.3520000000008,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDQ10,12.85,0.033230816,13,172.3422,OUT049,1999,1207.0954,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN48,12.857645184136183,0.113720344,0,89.9804,OUT019,1985,643.1628,4,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDL04,19.0,0.112556507,5,104.9622,OUT017,2007,1587.933,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.0,3,222.5456,OUT045,2002,5305.0944,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDD58,7.76,0.059352240999999986,13,101.87,OUT046,1997,1697.79,8,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDN04,11.8,0.014087057,5,180.3344,OUT046,1997,1427.4752,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDV45,16.75,0.045230944,13,187.9556,OUT018,2009,4693.89,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NCL18,12.857645184136183,0.293417759,9,194.6136,OUT019,1985,583.2408,4,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
FDR12,12.857645184136183,0.031382044,0,171.3764,OUT027,1985,3091.9752,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDG20,15.5,0.12639886,6,177.0028,OUT017,2007,2479.4392,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.025403898,6,160.99200000000005,OUT035,2004,2716.4640000000004,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDQ49,12.857645184136183,0.039057677,2,155.963,OUT027,1985,3285.723,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDN33,6.305,0.123115764,13,95.6436,OUT046,1997,661.8052,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDN27,20.85,0.039624006,10,117.2808,OUT049,1999,1523.3504,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW20,20.75,0.040421193,6,122.173,OUT010,1998,369.519,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
DRG27,8.895,0.105274111,4,39.9138,OUT049,1999,690.4346,9,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
DRI25,19.6,0.033970195,14,55.1614,OUT045,2002,1381.535,7,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDA44,19.7,0.053212652,6,57.893,OUT035,2004,622.523,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCR17,9.8,0.024378706,8,114.5492,OUT035,2004,1274.3412,6,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
FDU04,12.857645184136183,0.009714595,5,120.0414,OUT019,1985,487.3656,4,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDF41,12.15,0.131383762,5,246.046,OUT049,1999,1231.73,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.07461309,6,187.4556,OUT035,2004,3755.112,6,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCP18,12.857645184136183,0.028459761,9,149.9708,OUT027,1985,4363.6532,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDB56,8.75,0.07462720099999999,6,187.8556,OUT046,1997,1314.2892,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDT28,13.3,0.063695084,5,151.0708,OUT045,2002,1805.6496,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDD10,12.857645184136183,0.045797829000000005,13,178.5344,OUT027,1985,2854.9504,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDW57,8.31,0.115857223,13,179.1028,OUT049,1999,3896.2616,9,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
DRB48,16.75,0.024832806,14,38.7822,OUT013,1987,667.7974,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDP09,19.75,0.034027909,13,212.0902,OUT018,2009,3185.853,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDH14,17.1,0.0467696,3,141.1838,OUT013,1987,2247.7408,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDA47,10.5,0.116576702,0,163.121,OUT013,1987,1794.331,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDG12,6.635,0.0,0,121.3098,OUT045,2002,2530.7058,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
DRE60,12.857645184136183,0.278974075,14,225.372,OUT019,1985,679.1160000000001,4,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRK49,14.15,0.035913805,14,41.4138,OUT013,1987,812.2760000000002,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDD03,13.3,0.079806266,4,232.53,OUT046,1997,699.09,8,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDS52,8.89,0.005505481,5,102.4016,OUT017,2007,2732.4432,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,12.857645184136183,0.064625342,10,176.937,OUT019,1985,176.437,4,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDX34,12.857645184136183,0.071636937,13,121.7098,OUT027,1985,4097.3332,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDV11,9.1,0.0,1,173.2054,OUT045,2002,3151.8972,7,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDD17,7.5,0.032677677999999995,5,239.0906,OUT049,1999,5942.265,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDZ16,16.85,0.160760054,5,192.4478,OUT017,2007,4843.695,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.06911065,13,109.0228,OUT035,2004,2542.0244,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRA12,11.6,0.041177505,14,140.3154,OUT017,2007,2552.6772,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,13,227.0694,OUT018,2009,1141.847,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NCF19,13.0,0.035307322,9,47.5034,OUT017,2007,680.4476,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,14,159.0578,OUT045,2002,2085.9514,7,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDB14,20.25,0.171938781,3,92.512,OUT010,1998,186.424,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FDJ38,8.6,0.040197932,3,190.153,OUT035,2004,3036.048,6,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDW11,12.6,0.049058014,1,62.7194,OUT017,2007,866.8716,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,5,95.041,OUT035,2004,868.8689999999998,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRI49,14.15,0.183507295,14,82.4276,OUT046,1997,1137.1864,8,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDV38,19.25,0.102349519,4,52.7956,OUT017,2007,928.1252,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.08670898699999999,7,151.7682,OUT013,1987,762.341,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCP30,20.5,0.032835147,9,40.2822,OUT045,2002,707.0796,7,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY25,12.857645184136183,0.033809913,3,180.5976,OUT027,1985,7968.2944,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NCH54,13.5,0.07266912,9,160.292,OUT046,1997,1438.128,8,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
NCR53,12.857645184136183,0.144338493,8,224.4404,OUT027,1985,6976.2524,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDS52,8.89,0.009163216,5,101.7016,OUT010,1998,101.2016,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FDG02,7.855,0.011307038,3,188.5188,OUT018,2009,952.094,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NCO26,7.235,0.076855628,9,116.0492,OUT046,1997,1969.4364,8,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDH35,12.857645184136183,0.059956876,15,165.4526,OUT027,1985,5262.4832,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FDB51,6.92,0.038532062,4,60.5852,OUT045,2002,1314.2892,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDX44,9.3,0.043209581,6,90.8172,OUT017,2007,535.3032,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0.056816465,11,132.1284,OUT010,1998,263.6568,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
NCC31,8.02,0.019866705,9,154.5972,OUT035,2004,1402.1748,6,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048331717,9,105.1622,OUT017,2007,1693.7952,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NCO55,12.8,0.091221855,11,105.5938,OUT045,2002,2143.876,7,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
NCC30,16.6,0.027622076,9,177.6344,OUT049,1999,2676.516,9,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDI16,14.0,0.0,5,53.06399999999999,OUT035,2004,905.488,6,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDP16,18.6,0.039355947,5,246.3802,OUT049,1999,7370.406,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB11,16.0,0.060836524,15,226.8404,OUT035,2004,6301.1312,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCB06,17.6,0.082316506,8,160.692,OUT035,2004,1597.92,6,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
FDA45,21.25,0.155350299,13,178.237,OUT035,2004,529.311,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076841095,9,117.5492,OUT035,2004,1969.4364,6,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
DRJ25,14.6,0.151419185,14,50.3692,OUT017,2007,1034.6532,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDR28,13.85,0.026001976,5,161.52100000000004,OUT018,2009,1794.331,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
